City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mayo,US,38.8876,-76.5119,71.56,85,90,5.01,overcast clouds
80,Milyutinskaya,RU,48.6279,41.6679,36.5,46,54,12.3,broken clouds
81,Albany,US,42.6001,-73.9662,59.31,93,0,2.77,clear sky
82,Upernavik,GL,72.7868,-56.1549,30.47,57,84,4.09,broken clouds
83,Yar-Sale,RU,66.8333,70.8333,44.31,85,100,20.29,overcast clouds
84,Cortez,US,37.3489,-108.5859,64.51,56,1,5.75,clear sky
85,Ancud,CL,-41.8697,-73.8203,47.73,72,0,5.06,clear sky
86,Pochutla,MX,15.7432,-96.4661,84.02,87,52,3.31,broken clouds
87,Mitsamiouli,KM,-11.3847,43.2844,74.97,84,94,3.06,overcast clouds
88,Antsohihy,MG,-14.8796,47.9875,71.24,93,37,2.42,scattered clouds
89,Barrow,US,71.2906,-156.7887,32.02,86,90,9.22,mist
90,Honningsvag,NO,70.9821,25.9704,42.94,70,99,18.19,overcast clouds
91,Husavik,IS,66.0449,-17.3389,35.51,80,19,9.04,few clouds
92,Taos,US,36.4072,-105.5731,64.8,43,75,3.0,broken clouds
93,Clyde River,CA,70.4692,-68.5914,33.82,98,100,4.45,overcast clouds
94,Nome,US,64.5011,-165.4064,42.87,82,90,6.91,light rain
95,Westerland,DE,54.9079,8.3033,48.22,93,0,3.44,clear sky
96,Mar Del Plata,AR,-38.0023,-57.5575,50.0,68,40,14.0,scattered clouds
97,Rikitea,PF,-23.1203,-134.9692,74.19,76,99,15.73,overcast clouds
98,Nanyamba,TZ,-10.6833,39.8333,66.83,98,76,2.8,broken clouds
99,Severo-Kurilsk,RU,50.6789,156.125,46.78,68,41,14.63,scattered clouds
100,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,92,100,10.07,overcast clouds
101,Bredasdorp,ZA,-34.5322,20.0403,60.28,88,65,16.11,broken clouds
102,Polunochnoye,RU,60.8697,60.4153,35.4,86,72,5.19,broken clouds
103,Bouza,NE,14.4229,6.0428,87.17,20,26,5.95,scattered clouds
104,Luanda,AO,-8.8368,13.2343,73.4,83,75,8.05,broken clouds
105,Inuvik,CA,68.3499,-133.7218,40.06,58,20,5.75,few clouds
106,Adrar,MR,20.5022,-10.0711,88.27,22,64,5.55,broken clouds
107,Boende,CD,-0.2167,20.8667,71.13,92,54,2.48,broken clouds
108,Anadyr,RU,64.75,177.4833,36.1,87,20,8.01,few clouds
109,Hilo,US,19.7297,-155.09,84.27,71,75,11.5,light rain
110,Valparaiso,CL,-33.0393,-71.6273,56.84,67,0,6.91,clear sky
111,Kyzyl-Suu,KG,42.3414,78.0056,36.68,99,100,4.81,overcast clouds
112,Leningradskiy,RU,69.3833,178.4167,28.71,97,100,3.69,light snow
113,New Norfolk,AU,-42.7826,147.0587,56.71,37,10,12.41,clear sky
114,Teluk Nibung,ID,3.001,99.8164,78.58,86,92,5.73,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,49.19,71,3,13.09,clear sky
116,Ostrovnoy,RU,68.0531,39.5131,46.36,86,100,24.52,overcast clouds
117,Cap Malheureux,MU,-19.9842,57.6142,70.47,79,2,1.01,light rain
118,Richards Bay,ZA,-28.783,32.0377,65.52,87,100,5.37,light rain
119,Strezhevoy,RU,60.7333,77.5889,35.58,95,100,10.76,overcast clouds
120,Merauke,ID,-8.4667,140.3333,83.86,63,45,9.06,scattered clouds
121,Biltine,TD,14.5333,20.9167,79.38,16,69,6.87,broken clouds
122,Zakamensk,RU,50.3741,103.2863,37.11,72,100,2.46,overcast clouds
123,Avera,US,33.194,-82.5271,72.72,92,100,6.24,overcast clouds
124,Namibe,AO,-15.1961,12.1522,60.94,88,7,7.72,clear sky
125,Catamarca,AR,-28.4696,-65.7852,65.59,47,89,9.78,overcast clouds
126,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,83,40,6.76,scattered clouds
127,Jalu,LY,29.0331,21.5482,66.92,56,0,7.47,clear sky
128,Staryy Nadym,RU,65.6118,72.6842,43.5,84,100,19.19,overcast clouds
129,Lebu,CL,-37.6167,-73.65,50.92,81,0,16.28,clear sky
130,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,24,0,0.0,clear sky
131,Piet Retief,ZA,-27.0071,30.8132,56.89,96,100,3.24,light rain
132,Poum,NC,-20.2333,164.0167,74.3,75,0,14.38,clear sky
133,Port Hardy,CA,50.6996,-127.4199,51.8,81,75,3.44,light intensity shower rain
134,Labuhan,ID,-6.8844,112.2051,82.27,59,17,11.3,few clouds
135,Umm Lajj,SA,25.0213,37.2685,80.15,54,0,10.49,clear sky
136,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.93,82,17,2.19,few clouds
137,Tsumeb,NA,-19.2333,17.7167,73.87,51,100,5.23,overcast clouds
138,Provideniya,RU,64.3833,-173.3,41.11,81,75,6.71,broken clouds
139,Namatanai,PG,-3.6667,152.4333,84.99,66,69,2.08,broken clouds
