City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
118,Richards Bay,ZA,65.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
121,Biltine,TD,79.38,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
124,Namibe,AO,60.94,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
125,Catamarca,AR,65.59,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
126,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
127,Jalu,LY,66.92,clear sky,29.0331,21.5482,صاحبة الفخامة
129,Lebu,CL,50.92,clear sky,-37.6167,-73.65,Hostal Las Lilas
131,Piet Retief,ZA,56.89,light rain,-27.0071,30.8132,Arabian Nite Guest House
132,Poum,NC,74.3,clear sky,-20.2333,164.0167,Gîte kajeon
133,Port Hardy,CA,51.8,light intensity shower rain,50.6996,-127.4199,Airport Inn
134,Labuhan,ID,82.27,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
135,Umm Lajj,SA,80.15,clear sky,25.0213,37.2685,Moon light Furnished Units
136,Sao Felix Do Xingu,BR,74.93,few clouds,-6.6447,-51.995,Rio Xingu Camping
139,Namatanai,PG,84.99,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
140,Esmeraldas,BR,76.24,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
141,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
142,Bandarbeyla,SO,78.75,few clouds,9.4942,50.8122,JABIR HOTEL
143,Fairlie,GB,59.4,overcast clouds,55.756,-4.8556,Brisbane House Hotel
144,Shushtar,IR,84.74,few clouds,32.0455,48.8567,چاپ یاس کبود
145,Caravelas,BR,73.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
146,Yarmouth,US,61.09,clear sky,41.7057,-70.2286,Blue Rock Resort
147,Half Moon Bay,US,68.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
148,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
150,Bulach,CH,50.11,light intensity drizzle,47.522,8.5405,Hotel Hori Inn
151,Huarmey,PE,64.11,broken clouds,-10.0681,-78.1522,Hotel Miramar
154,Carndonagh,IE,61.07,overcast clouds,55.25,-7.2667,Riversdale Country House
156,Bela,IN,80.51,scattered clouds,25.9333,81.9833,Raj Bhawan
158,Ngunguru,NZ,61.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
163,Luganville,VU,83.86,broken clouds,-15.5333,167.1667,The Espiritu Hotel
165,Assiniboia,CA,73.31,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
166,Imbituba,BR,67.82,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
167,Macklin,CA,55.74,overcast clouds,52.3334,-109.9348,Macklin Motor Inn
170,Jamestown,US,68.85,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
